0,1,2,3,4,5,6,7,8
20,7.50,6.2,3,3.7,4,6.5,8,16.5
21,6.74,5.66,2.74,3.36,3.64,5.94,7.34,15
22,5.98,5.12,2.48,3.02,3.28,5.38,6.68,13.5
23,5.22,4.58,2.22,2.68,2.92,4.82,6.02,12
24,4.46,4.04,1.96,2.34,2.56,4.26,5.36,10.5
25,3.7,3.5,1.7,2,2.2,3.7,4.7,9
26,3.46,3.28,1.62,1.9,2.06,3.46,4.42,8.5
27,3.22,3.06,1.54,1.8,1.92,3.22,4.14,8
28,2.98,2.84,1.46,1.7,1.78,2.98,3.86,7.5
29,2.74,2.62,1.38,1.6,1.64,2.74,3.58,7
30,2.5,2.4,1.3,1.5,1.5,2.5,3.3,6.5
31,2.4,2.1,1.2,1.4,1.5,2.4,3.1,6.5
t0,15,14,14,14,14,14,14,13
k,38,37,20,23,24,40,51,114